continent,nation,uni_name_eng,uni_name_ko,lat,lng,partner,course_point,category,program_date,program_date_tidily,program_duration,application_due,teaching_lang,minimum_lang,partner_adv,adv,expense,link,intern_program,accomodation
유럽,영국,Queen Mary University of London,퀸 메리 런던 대학교,51.524067,-0.040567,파트너대학,문학으로 읽는 테일러 ✍️ 다양한 문화예술 & 법•정치 수업 제공,"인문예술, 사회과학","6. 29 - 7. 20(세션 1)
7. 20 - 8. 10(세션 2)",,,5. 26,영어,명시되어 있지 않음,등록금 10% 할인,A(500만 원),"£3513(One session)
£6925(Two sessions)",https://www.qmul.ac.uk/summer-school/,,
유럽,영국,University of Glasgow,글래스고대학교,55.872121,-4.288315,파트너대학,서울대 종강 직후 개강 ⚠️ 문학·법정심리학·교육 관심자 필수!,"인문예술, 사회과학",6. 19 - 7. 5,,,4월,영어,IETLS 6.0,,A(500만 원),프로그램마다 상이,https://www.gla.ac.uk/study/visiting/internationalsummerschool/,,
중미,멕시코 ,Monterrey Institute of Technology,몬테레이공과대학교,25.651519,-100.289629,,"무려 4개 캠퍼스에서 멕시코 비즈니스, 문화, 경제 알아보기 🔍","경영경제, 사회과학, 언어·지역학",6. 30 - 8. 1,,,"5. 9 (Nomination)
5. 16 (Application)",영어,명시되어 있지 않음,,A(500만 원),프로그램과 Type of student마다 상이,https://studyinmexico.tec.mx/en/tec-summer-school,,
유럽,"독일
",Humboldt University of Berlin,베를린 훔볼트대학교,52.517037,13.392334,,EU 내 최대 도시에서 배우는 도시학! 🏙 + 독일 법·정치·문화,"인문예술, 사회과학, 언어·지역학","6. 16 - 7. 11(세션1)
7. 14 - 8. 8(세션 2)",,,"5. 15(모든 세션)
",영어,"TOEFL (iBT) 90
IETLS 6.5
",,A(500만 원),"과목마다 상이 EUR 850-1,000",https://hic.hu-berlin.de/en/huwisu/courses/summer,,
유럽,독일,Technische Universitat Berlin,베를린공과대학교,52.512645,13.326863,파트너대학,건축·우주·프로그래밍 전공자 집중! 🏗 + 독일어 교육까지,"공학, 언어·지역학","7. 7 - 8. 29(대면)
7. 21 - 8. 15(온라인)",,,"6. 6(대면)
6. 20(온라인)",영어,"TOEFL (iBT) 87
IETLS 5-6

TEPS 327",,A(500만 원),"EUR 2,150(대면)
EUR 1,080(온라인)",https://www.tu.berlin/en/international/summer-school/summer-school,,
유럽,독일,Freie Universität Berlin,베를린자유대학교,52.457456,13.297639,,독일의 정치와 예술 + 독일어 수업,"인문예술, 사회과학, 언어·지역학",6. 7 - 7. 19,,,5. 10,영어,명시되어 있지 않음,,A(500만 원),"과목 맟 거주 형태
마다 상이",https://www.fubis.org/termine/fubistermine_2_25.html                  https://www.fubis.org/5_geb/_uebersicht/index.html ,,
유럽,독일,University of Tübingen,튀빙겐대학교,48.523616,9.053553,,집중 독일어 과정 (4주) 🇩🇪,"인문예술, 언어·지역학",8. 4 - 8. 29,8월,4주,5. 31,영어,명시되어 있지 않음,,A(500만 원),EUR 2070,https://uni-tuebingen.de/en/international/learning-languages/learn-german/international-summer-course/,,
유럽,독일,RWTH AACHEN University,아헨공과대학교(RWTH),50.778992,6.080463,파트너대학,"산업공학, 로봇 관심있다면 여기로🤖",공학,프로그램마다 상이,,,4. 1,영어,명시되어 있지 않음,,A(500만 원),프로그램마다 상이,https://www.academy.rwth-aachen.de/en/programs/short-courses?utm_source=mailing&utm_medium=hochschule&utm_campaign=summer-school-2023,,
유럽,독일,Technische Universitat Darmstadt,다름슈타트 공과대학교,49.8777,8.6562,파트너대학,기계·항공·전기 전공자 주목! 🚀 벤츠 견학 + 독일어 교육까지,"공학, 언어·지역학",6. 12 - 7. 12,,,"3. 1 (Nomination)
3. 30 (Application)",영어,명시되어 있지 않음,부분 장학금,A(500만 원),"€ 2,900",https://www.tu-darmstadt.de/studieren/studieninteressierte/internationale_studieninteressierte/kurzzeitprogramme_und_sommeruniversitaet/summer_university_engineering_and_language/index.en.jsp,,
유럽,"오스트리아
",University of Vienna,빈 대학교,48.2132,16.36,,유럽학 딥다이브 🤿 & 국제중재와 독일어 공부,"언어·지역학, 사회과학",프로그램마다 상이,7-8월,4주,프로그램마다 상이,영어,"TOEFL (iBT) 100
IELTS 6.0","등록금 면제 신청해야하고, 파트너 대학에 우선권을 줌.","확인 필요 (24년 기준, 등록금 면제시 여비지원 X)",프로그램마다 상이,"https://international.univie.ac.at/en/summer-and-winter-schools/univie-summer-schools/
프로그램비 면제 관련: https://international.univie.ac.at/en/summer-and-winter-schools/general-information-about-application-and-scholarships/ ",,기숙사
